acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
196,917,5082,49,634,-120
122,751,5033,-31,653,-97
92,759,4949,-105,675,-30
17,817,4803,-175,704,23
-95,941,4629,-230,716,59
-159,1161,4497,-287,699,78
-163,1351,4445,-352,668,60
-168,1420,4501,-417,639,2
-191,1428,4653,-503,618,-62
-167,1438,4801,-576,618,-133
-105,1384,4931,-675,645,-209
-107,1267,4865,-707,695,-291
-138,1130,4652,-756,749,-347
-221,1067,4503,-885,788,-352
-304,1134,4414,-1012,816,-341
-330,1188,4275,-1056,835,-365
-354,1175,4076,-1082,850,-425
-433,1057,3885,-1090,857,-506
-545,952,3625,-1072,847,-583
-633,901,3465,-1135,835,-629
-669,864,3332,-1177,826,-688
-667,729,3192,-1183,813,-775
-688,540,3070,-1137,783,-866
-791,235,2944,-1100,751,-925
-811,150,2736,-1290,742,-911
-904,24,2474,-1386,720,-939
-1038,-274,1935,-1280,642,-1008
-1079,-753,1623,-1284,502,-1046
-1124,-1215,1466,-1230,312,-1041
-1157,-1467,1445,-1190,88,-958
-1106,-1578,1539,-1181,-112,-843
-1096,-1665,1644,-1064,-284,-779
-1067,-1784,1607,-893,-415,-752
-948,-2025,1544,-756,-537,-735
-903,-2310,1544,-632,-681,-705
-876,-2537,1654,-548,-829,-622
-802,-2660,1779,-422,-957,-512
-711,-2689,1839,-236,-1058,-417
-583,-2695,1897,-90,-1159,-326
-454,-2779,2066,17,-1279,-233
-317,-2854,2168,176,-1399,-127
-204,-2829,2259,304,-1519,2
-90,-2755,2402,362,-1633,135
0,-2684,2531,423,-1733,243
71,-2608,2788,507,-1833,341
215,-2399,3209,668,-1925,427
401,-2022,3703,867,-1972,497
612,-1561,4229,1062,-1968,524
876,-1095,4696,1220,-1910,502
1097,-870,5098,1295,-1814,440
1236,-882,5678,1275,-1726,418
1373,-747,6458,1203,-1588,469
1386,-439,7255,1033,-1305,554
1176,-15,6967,1030,-985,607
1018,451,6282,1059,-830,631
990,793,6084,994,-837,605
990,793,6084,994,-837,605
1008,1082,6435,813,-905,569
1129,1393,6977,646,-954,537
1388,1688,7761,463,-928,478
1608,1821,8660,306,-737,365
1650,1820,9132,256,-380,219
1480,1653,8993,305,71,77
1155,1503,7981,379,470,-9
814,1491,6862,346,669,-24
606,1606,6053,242,682,-18
517,1635,5543,93,592,-52
474,1515,5421,-83,469,-109
544,1389,5536,-223,377,-159
640,1268,5676,-348,371,-207
719,1160,5693,-459,454,-260
752,1102,5573,-491,572,-332
774,1071,5387,-438,697,-418
826,950,5102,-400,833,-530
781,748,4843,-453,960,-624
692,619,4584,-540,1071,-677
580,588,4251,-655,1171,-701
474,585,3901,-789,1249,-723
357,507,3495,-876,1285,-781
259,384,3097,-926,1269,-856
165,275,2775,-975,1205,-923
111,166,2653,-1043,1119,-981
77,59,2633,-1019,1028,-1059
49,-70,2511,-914,946,-1158
18,-314,2360,-824,860,-1251
-113,-526,2261,-774,767,-1294
-167,-547,2126,-754,679,-1288
-174,-384,1847,-802,601,-1293
-276,-379,1471,-822,470,-1381
-338,-504,1397,-907,283,-1463
-232,-561,1532,-1130,129,-1501
-181,-748,1483,-1230,5,-1600
-230,-1115,1166,-1160,-144,-1693
-209,-1492,988,-1108,-334,-1727
-211,-1766,1011,-1039,-572,-1725
-150,-1943,1316,-974,-827,-1676
26,-2010,1697,-854,-1050,-1624
285,-2119,2047,-766,-1220,-1576
488,-2302,2379,-619,-1331,-1549
635,-2474,2769,-490,-1397,-1487
738,-2504,3052,-339,-1429,-1384
963,-2491,3407,219,-1543,-1416
1141,-2568,2981,693,-1726,-1453
1041,-2872,3774,-111,-1614,-993
1057,-2791,3841,-161,-1470,-777
985,-2643,3687,-14,-1397,-650
999,-2345,3563,206,-1382,-557
1098,-2096,3520,370,-1404,-526
1336,-2138,3558,437,-1434,-544
1564,-2376,3833,474,-1475,-546
1666,-2608,4281,489,-1494,-483
1818,-2701,4793,510,-1456,-362
1920,-2654,5212,606,-1364,-223
1950,-2454,5527,703,-1235,-75
2005,-2231,5529,783,-1066,39
1938,-2127,5137,827,-900,110
1839,-2099,4668,841,-835,177
1847,-2042,4617,784,-869,261
1888,-2135,4801,778,-881,334
1888,-2137,4845,801,-868,435
2023,-2126,5764,807,-765,544
1684,-2477,4274,1261,-651,618
1824,-2185,4153,1394,-819,839
1943,-1617,4570,1351,-913,1043
1998,-1246,4964,1256,-900,1143
2001,-948,5169,1259,-820,1184
2001,-948,5169,1259,-820,1184
2002,-606,5184,1319,-714,1190
1997,-407,5191,1359,-618,1154
1980,-148,5348,1369,-515,1117
1946,33,5240,1362,-376,1056
1908,23,4928,1354,-281,969
1870,-75,4729,1324,-255,910
1872,-200,4762,1254,-273,909
1946,-295,4984,1190,-304,958
2055,-315,5175,1149,-302,1040
2047,-263,5209,1094,-246,1147
1969,-121,5134,1032,-166,1264
1943,233,5038,1036,-95,1382
1931,857,4828,1173,-31,1446
1894,1400,4559,1225,30,1399
1835,1720,4487,1103,83,1281
1797,1917,4382,1004,128,1100
1782,1889,4335,863,174,880
1711,1631,4358,723,225,664
1618,1306,4307,613,287,500
1552,1001,4118,524,341,411
1483,721,3856,458,365,367
1408,514,3663,425,328,372
1409,447,3659,466,247,396
1412,431,3561,638,159,393
1367,452,3410,766,77,401
1317,566,3329,736,7,442
1321,760,3353,584,-28,481
1363,930,3421,463,-43,444
1437,979,3476,432,-60,332
1534,879,3547,422,-79,195
1635,658,3692,392,-95,74
1690,407,3830,364,-106,-12
1696,200,3884,321,-104,-44
1708,48,3868,307,-108,-41
1764,-11,3813,267,-118,-16
1805,-72,3865,219,-139,10
1706,-95,3942,189,-167,58
1622,-90,4099,-5,-151,164
1662,43,4171,-74,-105,229
1655,193,4114,-10,-74,209
1624,281,4104,-1,-56,169
1634,319,4149,17,-49,120
1650,276,4178,51,-43,57
1659,193,4153,101,-28,0
1656,103,4156,156,-30,-35
1646,24,4166,195,-41,-41
1643,-30,4158,211,-46,-20
1598,-30,4111,205,-40,20
1552,22,4101,193,-35,70
1543,144,4073,213,-34,105
1561,264,4030,213,-33,119
1561,335,4023,177,-36,118
1576,384,4008,159,-45,106
1598,384,3999,136,-61,84
1611,361,4047,118,-82,60
1641,334,4061,117,-92,39
1683,311,4060,132,-89,16
1710,282,4106,138,-89,-1
1735,269,4160,132,-80,-11
1719,261,4180,130,-59,-17
1682,259,4137,140,-31,-21
1664,252,4078,133,-12,-21
1637,254,3986,97,-3,-13
1604,260,3943,-11,3,13
1623,267,3933,-66,-1,24
1663,259,3922,-46,-15,3
1669,206,3948,-29,-33,-18
1692,169,3976,-23,-44,-25
1692,169,3976,-23,-44,-25
1704,144,4045,-14,-50,-22
1697,133,4097,-7,-47,-11
1675,131,4112,-12,-28,3
1616,166,4066,-7,-5,18


-329,1358,4843,-553,256,-46
-283,1444,4891,-580,286,-112
-303,1423,4956,-650,322,-176
-386,1387,4931,-710,372,-228
-495,1379,4706,-729,423,-286
-607,1364,4390,-727,435,-351
-612,1277,4094,-736,398,-418
-569,1015,3957,-785,323,-473
-535,730,3993,-859,240,-484
-533,595,4053,-906,187,-465
-521,672,3998,-906,165,-443
-454,700,3857,-895,153,-469
-445,526,3820,-903,133,-524
-486,278,3769,-892,123,-560
-549,105,3667,-832,123,-580
-605,123,3570,-747,112,-580
-622,204,3400,-681,97,-600
-649,102,3196,-656,60,-644
-690,-45,3103,-670,-5,-666
-647,-200,3123,-681,-85,-674
-618,-399,3194,-668,-158,-676
-639,-506,3251,-658,-214,-648
-638,-485,3188,-646,-250,-611
-663,-459,3037,-622,-292,-604
-681,-527,2850,-608,-352,-623
-590,-783,2729,-610,-438,-653
-471,-1208,2875,-604,-541,-661
-393,-1472,3218,-589,-613,-614
-381,-1494,3316,-526,-617,-550
-343,-1555,3143,-387,-620,-519
-285,-1655,3114,-274,-674,-487
-170,-1645,3343,-204,-745,-424
-12,-1624,3638,-141,-786,-369
22,-1672,3811,-113,-786,-324
10,-1803,3829,-91,-773,-277
58,-1991,3780,-26,-782,-228
101,-2079,3925,18,-813,-139
152,-1974,4008,76,-818,-41
169,-1933,3838,130,-801,13
128,-1987,3806,214,-813,40
178,-1956,3927,331,-844,84
312,-1842,4201,411,-867,145
419,-1636,4531,469,-867,214
506,-1377,4673,510,-828,267
568,-1345,4769,513,-782,287
604,-1415,4857,510,-744,323
607,-1363,4877,495,-702,399
559,-1258,4739,523,-672,475
547,-1057,4886,560,-657,543
592,-558,5123,617,-631,599
743,95,5499,628,-555,600
691,265,5184,684,-456,500
669,2,4707,660,-443,420
712,-482,4797,521,-502,430
668,-590,5185,390,-526,552
659,-93,5276,385,-472,679
668,471,5281,448,-405,701
663,822,5361,468,-341,647
645,983,5289,442,-263,556
550,925,5149,399,-203,454
550,925,5149,399,-203,454
511,927,5163,363,-184,395
562,1085,5347,295,-157,360
512,1094,5258,232,-94,311
389,1093,4852,174,-56,275
353,1191,4843,153,-91,243
419,1261,5049,187,-111,185
482,1460,5203,225,-97,124
565,1768,5359,219,-69,54
655,1927,5503,158,-16,-39
687,1909,5628,62,48,-138
678,1906,5679,-46,124,-204
634,1954,5469,-140,210,-263
536,1865,5049,-239,263,-337
428,1681,4644,-362,261,-398
333,1504,4309,-498,217,-438
264,1311,4035,-633,149,-485
285,1038,3893,-718,70,-543
353,788,3962,-788,-3,-578
449,564,4110,-820,-49,-599
486,397,4142,-805,-46,-611
507,359,4036,-776,-15,-624
548,472,3949,-732,3,-659
636,422,3884,-677,25,-752
619,-1,3861,-647,57,-856
529,-150,3629,-689,99,-880
396,-148,3323,-682,87,-905
340,-293,3215,-649,29,-940
425,-450,3133,-652,-39,-954
580,-692,3141,-677,-125,-958
597,-904,3341,-759,-203,-920
527,-925,3455,-781,-227,-864
471,-919,3373,-705,-227,-846
477,-959,3124,-629,-247,-848
480,-1132,2986,-621,-313,-845
446,-1264,3130,-632,-398,-811
429,-1150,3187,-610,-446,-768
501,-1192,3058,-550,-476,-787
519,-1429,3008,-505,-530,-810
526,-1576,3087,-483,-601,-781
664,-1688,3179,-416,-661,-746
776,-1856,3267,-316,-704,-717
855,-1965,3391,-241,-734,-657
949,-1854,3595,-219,-760,-563
1038,-1713,3807,-196,-771,-496
1031,-1670,3984,-115,-772,-472
1068,-1692,3959,-53,-753,-454
1147,-1856,3951,-31,-753,-430
1198,-2029,4105,-9,-766,-379
1209,-2077,4125,79,-755,-312
1196,-2080,3966,171,-731,-252
1203,-2173,3786,244,-724,-199
1244,-2279,3678,306,-746,-128
1281,-2377,3692,372,-780,-38
1273,-2296,3744,459,-805,70
1315,-1978,3864,575,-828,161
1513,-1711,4185,702,-860,203
1720,-1707,4664,744,-862,225
1789,-1825,4993,751,-793,271
1726,-1864,4823,759,-672,356
1626,-1835,4351,770,-587,444
1609,-1763,4104,808,-592,524
1672,-1574,4235,843,-638,609
1782,-1347,4525,881,-651,677
1848,-1155,4668,934,-607,723
1850,-957,4459,960,-541,759
1857,-870,4315,951,-512,771
1904,-856,4391,1025,-522,786
2065,-375,4954,1041,-545,852
2164,-99,5292,1083,-423,842
2164,-99,5292,1083,-423,842
2029,-22,4652,1278,-404,816
2161,203,5702,1153,-374,877
1986,344,5395,1122,-135,865
1715,480,4220,1099,-3,842
1615,640,3932,998,-91,833
1729,889,4419,916,-237,817
1913,1017,5047,839,-277,778
1974,1072,5312,758,-203,738
1950,1123,5248,672,-86,709
1910,1164,5082,586,19,680
1881,1245,4975,501,90,654
1834,1448,4885,463,140,620
1726,1659,4650,448,190,551
1653,1603,4345,394,223,449
1604,1335,4116,325,213,359
1498,1148,4017,268,176,323
1475,1125,4010,209,142,331
1530,1110,3939,205,131,315
1535,1045,3815,224,127,282
1538,995,3764,197,114,272
1566,954,3836,113,101,279
1571,914,3971,24,107,288
1571,956,3938,5,130,276
1529,970,3885,33,143,226
1493,916,3869,119,145,144
1488,824,3850,212,131,58
1533,658,3884,269,112,-14
1504,499,3832,320,104,-71
1431,422,3713,320,84,-87
1421,391,3698,221,45,-71
1503,345,3864,85,11,-51
1603,298,4072,38,-9,-59
1690,222,4279,14,-12,-67
1719,151,4434,-13,11,-64
1663,149,4480,-61,60,-37
1578,233,4373,-84,123,-14
1466,314,4114,-72,168,-23
1376,313,3894,-70,168,-58
1313,225,3817,-82,127,-89
1291,136,3855,-73,70,-102
1313,75,3935,-55,21,-101
1350,42,4018,-38,-6,-92
1359,26,4078,-25,-12,-77
1392,52,4129,-9,-12,-57
1387,98,4157,-11,-4,-35
1376,132,4144,-22,19,-17
1356,163,4040,0,40,-16
1320,202,3967,9,40,-16
1309,275,3919,14,24,-18
1342,326,3893,19,6,-37
1384,267,3918,17,-18,-69
1421,160,3983,5,-41,-89
1480,69,4083,0,-48,-93
1506,3,4143,19,-44,-82
1494,13,4147,24,-32,-52
1467,43,4110,15,-17,-22
1437,109,4057,27,-13,-4
1437,184,4011,39,-20,3
1460,206,4039,45,-36,-9
1530,155,4144,69,-53,-27
1570,112,4250,82,-60,-23
1532,112,4347,58,-37,4
1476,150,4340,56,2,24
1424,203,4200,86,41,26
1412,261,4103,101,54,22
